state,rainfall
Andhra Pradesh,22.3
Arunachal Pradesh,99.3
Assam,106.1
Bihar,38.9
Chhattisgarh,48.2
Delhi,18.8
Goa,13.7
Gujarat,10.3
Haryana,16.1
Himachal Pradesh,27.7
Jammu and kashmir,34.2
Jharkhand,36.3
Karnataka,38.6
Kerala,97.4
Madhya Pradesh,25.5
Maharashtra,19.7
Manipur,73.2
Meghalaya,147.1
Mizoram,107.9
Nagaland,73.3
Odisha,50.4
Punjab,19.3
Rajasthan,13.3
Sikkim,115.9
Tamil Nadu,25.5
Telangana,16.2
Tripura,141.4
Uttar Pradesh,16.6
Uttarakhand,50.9
West Bengal,91.3
